Ubicación Tecnica	Descripción
PRFEEN35	TOTALIZADOR CCM 57-1
PRFEEN37	TOTALIZADOR CCM 57-2
PRFEEN39	TOTALIZADOR CCM 54-3
PRFEEN41	TOTALIZADOR CCM 54-2  
PRFEEN43	CELDA DE BAJA TOT TRANSFE-51
PRFEEN45	CELDA DE BAJA TOT PPAL-59
PRFEEN47	CELDA DE BAJA TOT PPAL-50
PRFEEN49	TOTALIZADOR CCM PLANTA DE EMERGENCIA
PRFEEN51	EXTRACTOR 1 CUARTO ELECTRICO PWP-TG3
PRFEEN53	EXTRACTOR 2 CUARTO ELECTRICO PWP-TG3
PRFEEN55	T2-3 TRAFO N°1 SUBESTACION PM4
PRFEEN57	T2-8 TRAFO N°2 SUBESTACION PM4
PRFEEN59	T4-1 TRAFO EVAPORADORES CE CCM COMUNES
PRFEEN61	T4-10 TRAFO BOCATOMA PWP
PRFEEN63	T4-9 TRAFO CASA BOMBAS PWP
PRFEEN65	REACTOR 1 ENLACE BARRAS 2A-2C
PRFEEN67	REACTOR 2 ENLACE TIE LINE 2C-1A
PRFEEN69	SISTEMA CONTRA INCENDIO S/E PPAL
PRFEEP		SISTEMA DE POTENCIA
PRFEEP00	SUBESTACION 115 KV. ENTRADA PRINCIPAL
PRFEEP01	T1-1 TRAFO N°1 SUBESTACION PRINCIPAL
PRFEEP02	T1-2 TRAFO N°2 SUBESTACION PRINCIPAL
PRFEEP03	TRANSFORMADOR NO. 3 SUBESTACION 115 KV
PRFEEP04	TRANSFORMADORES M4
PRFEPE		PLANTA DE EMERGENCIA
PRFEPE02	PLANTA EMERGENCIA No. 2
PRFEPE03	ALUMBRADO DE EMERGENCIA
PRFEPE04	PLANTA DE EMERGENCIA           
PRFESB		SISTEMA DE BARRAJE
PRFESB01	SISTEMA DE BARRAJE PRINCIPAL 115kV
PRFESB03	SISTEMA DE BARRAJE S/E PPAL 2A 13.2kV
PRFESB04	SISTEMA BARRAJE S/E UR-3 5A 13.2kV
PRFESB05	SISTEMA DE BARRAJE S/E PPAL 2B 13.2kV
PRFESB07	SISTEMA DE BARRAJE S/E PPAL 2C 13.2kV
PRFESB09	SISTEMA DE BARRAJE PULPAPEL 2 INDOOR
PRFESB11	SISTEMA DE BARRAJE PULPAPEL 1 INDOOR
PRFESB13	SISTEMA DE BARRAJE UR2-PP2-PUL 
PRFESB15	SISTEMA DE BARRAJE S/E TMP 4B 13.2kV
PRFESB17	SISTEMA DE BARRAJE CAUSTIFICADORES 460V
PRFESB19	SISTEMA DE BARRAJE PULPAPEL 1  
PRFESB20	SISTEMA DE BARRAJE 2A PM4  4.16kv
PRFESB21	SISTEMA DE BARRAJE M4 2A6,7,8  
PRFESB23	SISTEMA DE BARRAJE TURBOGAS 4C   13.2kV
PRFESB25	SISTEMA DE BARRAJE PWP MEZZ    
PRFESB27	SISTEMA DE BARRAJE BANCO CAP   
PRFESB29	SISTEMA DE BARRAJE TRANSFOR    
PRFESB31	SISTEMA DE BARRAJE PWP BARRA 1C   4.16kV
PRFESB33	SISTEMA DE BARRAJE PWP PRIM    
PRFESB35	CELDA BAJA CCM 51,54,55,57,58,67,68 460V
PRFESB37	SISTEMA DE BARRAJE PWP 1A    13.2kV
PRFESB47	CELDA DE BAJA CCM 60,61,62 CASABBAS 460V
PRFESB49	SISTEMA DE BARRAJE S/E UR-3 5B    4.16kV
PRFESB53	SIST BARRAJE CELDAS VTF C4,JOY3   4.16kV
PRFESB55	S BARRAJE CELDAS VTI C5,JOY2,BBA1 4.16kV
PRFESB57	SIST BARRAJE CELDAS AGUAS Y T4-10 4.16kV
PRFESB59	SISTEMA DE BARRAJE S/E PPAL 2D 13.2kV
PRFET2		TURBOGENERADOR 2
PRFET201	TURBOGENERADOR 2
PRFET202	BBA AUXILIAR ACEITE TG2
PRFET204	BBA AUXILIAR ACEITE TG2
PRFET205	EXTRACTOR TK ACEITE
PRFET207	BBA 1 CONDENSADO TG2
PRFET208	BBA 2 CONDENSADO TG2
PRFET209	BBA 1 VACIO TG2
PRFET210	BBA2 VACIO TG2
PRFET211	PUENTE GRUA TG2
PRFET213	VENTILADOR 1 SOTANO TG2
PRFET215	VENTILADOR 2 SOTANO TG2
PRFET217	RECUPERACION CONDENSADO TG2
PRFET219	SISTEMA CONTRA INCENDIO TG2    
PRFET3		TURBOGENERADOR 3
PRFET301	TURBOGENERADOR 3
PRFET302	CENTRIFUGADORA PARA ACEITE TURBO 3
PRFET303	BBA 1 CONDENSADO TG3
PRFET304	BBA 2 CONDENSADO TG3
PRFET305	BBA 1 VACIO TG3
PRFET306	BBA 2 VACIO TG3
PRFET308	BBA RECIRCULACION ACEITE TK TG3
PRFET309	TURBOBOMBA AUXILIAR ACEITE TG3
PRFET310	MBBA AUXILIAR ACEITE TG3
PRFET311	PUENTE GRUA TG3
PRFET313	EXTRACTOR 1 CUARTO TG3
PRFET315	EXTRACTOR 2 CUARTO TG3
PRFET317	EXTRACTOR 3 CUARTO TG3
PRFET319	VENTILADOR 1 CUARTO TG3
PRFET321	VENTILADOR 2 CUARTO TG3
PRFET323	EXTRACTOR GAS TKAC TG3
PRFET325	BBA1 CEN AC TG3
PRFET326	BBA2 CEN AC TG3
PRFET327	EXTRACTOR CUARTO EXCITATRIZ TG3
PRFET329	EXCITATRIZ ESTATICA  TG3
PRFET331	CONTROL EXCITATRIZ TG3
PRFET333	SISTEMA CONTRA INCENDIO TG3
PRFET335	TRANSFORMADOR DE AUXILIARES TG3
PRFET337	TRANSFORMADOR UPS SISTEMA REGULADO TG3
PRFET338	ENFRIADOR ACEITE 2-1
PRFET339	ENFRIADOR ACEITE 3-1
PRFET341	SISTEMA HIDRÁULICO TURBOGENERADOR 3
PRFET4		TURBOGENERADOR 4               
PRFET401	TURBOGENERADOR 4               
PRFET501	TURBOGENERADOR 5 
PRFETU		TUBERIAS
PRFETU01	TUBERIAS PLANTA DE ENERGIA
PRFP		EDIFICIOS PLANTA DE FUERZA
PRFPED		EDIFICIOS
PRFPED01	EDIFICIOS PWP
PRFPTU		TUBERIAS
PRFPTU01	TUBERIAS PWP
PRFS		PLANTA DE VAPOR
PRFSAA		SISTEMA DE AIRE ACONDICIONADO
PRFSAA01	A.A.1 MEZANINE   
PRFSAA02	AIRE ACC CUARTO DE OPERARIOS CALDERA 5
PRFSC4		CALDERA 4
PRFSC401	CALDERA 4
PRFSC402	SOPLADOR-1
PRFSC403	SOPLADOR-2
PRFSC404	SOPLADOR-3
PRFSC405	SOPLADOR-4
PRFSC406	SOPLADOR-5
PRFSC407	SOPLADOR-6
PRFSC408	SOPLADOR-7
PRFSC409	SOPLADOR-8
PRFSC410	VENTILADOR TIRO FORZADO C4
PRFSC411	BBA CRUDO No 1
PRFSC412	BBA CRUDO No 2
PRFSC413	QUEMADOR No 1 C4
PRFSC414	QUEMADOR No 2 C4
PRFSC415	QUEMADOR No 3 C4
PRFSC416	QUEMADOR No 4 C4
PRFSC417	PRECALENTADOR CALDERA 4
PRFSC419	TK DIARIO FUEL OIL C4
PRFSC420	SISTEMA TUBERIAS VAPOR SOBRECALENTADO C4
PRFSC5		CALDERA 5
PRFSC501	CALDERA 5
PRFSC503	VENTILADOR TIRO INDUCIDO C5
PRFSC505	VENTILADOR TIRO FORZADO C5
PRFSC507	VENTILADOR TIRO SECUNDARIO C5
PRFSC509	BBA IZQ HIDR C5
PRFSC510	HIDRAULICA IZQUIERDA ST BY C5  
PRFSC511	BBA DER HIDR C5
PRFSC512	HIDRAULICA DERECHA STAND BY C5 
PRFSC513	SOPLADOR RETRACTIL CALDERA 5
PRFSC515	FOGONERO 1 C5
PRFSC516	ROTOR FOGONERO 1 CALDERA 5
PRFSC517	FOGONERO 2 C5
PRFSC518	ROTOR FOGONERO 2 CALDERA 5
PRFSC519	FOGONERO 3 C5
PRFSC520	ROTOR FOGONERO 3 CALDERA 5
PRFSC521	FOGONERO 4 C5
PRFSC522	ROTOR FOGONERO 4 CALDERA 5
PRFSC523	FOGONERO 5 C5
PRFSC524	ROTOR FOGONERO 5 CALDERA 5    
PRFSC525	FOGONERO 6 C5             
PRFSC526	ROTOR FOGONERO 6 CALDERA 5    
PRFSC527	TURBOBOMBA 1 ALIMENTACION C5  
PRFSC528	TURBOBOMBA 2 ALIMENTACION C5
PRFSC529	INSTRUMENTOS CALDERA 5        
PRFSC531	ALUMBRADO CALDERA 5
PRFSC533	BBA 1 EMERGENCIA ALI CALDERAS
PRFSC535	VENTILADOR FOGONEROS CALDERA 5
PRFSC536	MOTOBOMBA 3 ALIMENTACION CALDERAS
PRFSC537	BBA 4 ALIMENTACIÓN CALDERAS
PRFSC538	BBA 5 ALIMENTACIÓN CALDERAS
PRFSC539	SOPLADOR RETRACTIL 1 C5
PRFSC541	SOPLADOR RETRACTIL 2 C5
PRFSC543	SOPLADOR RETRACTIL 3 C5
PRFSC545	SIRENA DE EMERGENCIA
PRFSC546	PLATAFORMA VOLCADORA DE CARBON
PRFSC547	ROTOR FOGONERO 5 CALDERA 5  
PRFSC548	PARRILLA IZQUIERDA CALDERA 5
PRFSC549	ROTOR FOGONERO 6 CALDERA 5  
PRFSC550	PARRILLA DERECHA CALDERA 5
PRFSC551	VENTILADOR 2 FOGONEROS CALDERA 5
PRFSC553	CUARTO OPERACION CALDERA 5
PRFSC555	SISTEMA HIDRÁULICO PLATAFORMA VOLCADORA
PRFSC557	SISTEMA DE LUBRICACIÓN TURBOBBA 1 C5
PRFSC559	SISTEMA DE LUBRICACIÓN  TURBOBBA 2 C5
PRFSC561	SISTEMA DE LUBRICACIÓN  TURBOBBA 3 C5
PRFSC563	SOPLADOR PARED 1 C5
